Run,Cell_line,Cellosaurus_ID
SRR8615410,AM-38,CVCL_1070
SRR8615413,AN3 CA,CVCL_0028
SRR8615415,Hs 281.T,CVCL_0715
SRR8615418,Hs 606.T,CVCL_0819
SRR8615419,Hs 600.T,CVCL_0814
SRR8615423,COR-L279,CVCL_1140
SRR8615426,COR-L88,CVCL_1141
SRR8615428,COR-L311,CVCL_2412
SRR8615429,COR-L47,CVCL_2415
SRR8615430,RVH-421,CVCL_1672
SRR8615433,RS-5,CVCL_2182
SRR8615434,RS4;11,CVCL_0093
SRR8615437,RPMI-7951,CVCL_1666
SRR8615439,RMG-I,CVCL_1662
SRR8615442,NMC-G1,CVCL_1608
SRR8615444,NHAHTDD,CVCL_WS73
SRR8615447,NH-6,CVCL_1606
SRR8615448,SU-DHL-1,CVCL_0538
SRR8615451,HCC-56,CVCL_2917
SRR8615453,HCC461,CVCL_5135
SRR8615454,HCC515,CVCL_5136
SRR8615456,HCC-44,CVCL_2060
SRR8615458,HCC38,CVCL_1267
SRR8615461,HCC827 GR5,CVCL_V622
SRR8615463,TE 441.T,CVCL_1754
SRR8615464,TE-1,CVCL_1759
SRR8615465,NCI-H727,CVCL_1584
SRR8615467,TE-6,CVCL_1765
SRR8615470,TE-4,CVCL_3337
SRR8615471,SNU-878,CVCL_5102
SRR8615472,SNU-886,CVCL_5103
SRR8615476,SNU-C2A,CVCL_1709
SRR8615477,SNU-899,CVCL_5105
SRR8615480,L3.3,CVCL_8147
SRR8615481,KYSE-520,CVCL_1355
SRR8615484,JH-EsoAd1,CVCL_8098
SRR8615485,L-363,CVCL_1357
SRR8615488,IST-MES1,CVCL_1311
SRR8615490,J82,CVCL_0359
SRR8615491,IOMM-Lee,CVCL_5779
SRR8615493,Ishikawa (Heraklio) 02 ER-,CVCL_6543
SRR8615496,SKNO-1,CVCL_2196
SRR8615498,NCI-H929,CVCL_1600
SRR8615501,SK-N-BE(2),CVCL_0528
SRR8615502,SK-N-AS,CVCL_1700
SRR8615505,SK-OV-3,CVCL_0532
SRR8615506,SK-N-SH,CVCL_0531
SRR8615509,OCI-LY-19,CVCL_1878
